Type,Trans Date,Description,Amount,Category,SubCategory,Location
Sale,10/20/17,OSHA THAI RESTAURANT.,43.9,Shopping,Apparel,San Francisco
Sale,10/19/17,SQ *PHILZ COFFEE,11.05,Shopping,Electronics,Spain
Sale,10/18/17,TRAVEL RETAIL ITALIAN 970,99.51,Shopping,Gifts,San Francisco
Sale,10/18/17,STARBUCKS STORE 09216,4.12,Travel,Air,San Francisco
Sale,10/18/17,SQ *EL PORTENO EMPANADAS,37.62,Travel,Hotel,Las Vegas
Sale,10/15/17,VERNAZZA SS DPR,40.26,Travel,Car,San Francisco
Sale,10/15/17,PIAZZA VIII AGOSTO    538,8.2,Food & Dining,Fast Food,Spain
Sale,10/15/17,AUTOST LA SPEZIA/BOLOGNA,15.34,Food & Dining,Coffee Shop,Spain
Sale,10/14/17,NUOVO EDEN,3.13,Food & Dining,Restaurant,San Francisco
Sale,10/14/17,COOP CONSUMO CINQUE TERRE,9.39,Food & Dining,Grocery,Spain
Sale,10/13/17,UNITED,32.76,Bills,Utilities,San Francisco
Sale,10/13/17,LA SPEZIA CENTRALE SS,141,Bills,Services,San Francisco
Sale,10/13/17,AUTOST MODENA SUD/LA SPEZ,126,Health & Fitness,Gym,Spain
Sale,10/9/17,ACCOGLIENZA STAZIONE RIOM,3.6,Shopping,Apparel,Las Vegas
Sale,10/9/17,TRATTORIA DAL BILLY S.N.C,10.8,Shopping,Electronics,Spain
Sale,10/8/17,ENTE PARCO NAZIONALE DELL,12.08,Shopping,Gifts,Las Vegas
Sale,10/8/17,LA SPEZIA CENTRALE SS,22.64,Travel,Air,Spain
Sale,10/8/17,AUTOST MODENA NORD/LA SPE,27.3,Travel,Hotel,San Francisco
Sale,10/8/17,ENOTECA DAU CILA,6.61,Travel,Car,San Francisco
Sale,10/8/17,UNITED,54.28,Food & Dining,Fast Food,San Francisco
Sale,10/7/17,HOMBRE SRL,3.55,Food & Dining,Coffee Shop,Las Vegas
Sale,10/7/17,PUSHSTART SRL,4.12,Food & Dining,Restaurant,San Francisco
Sale,10/7/17,CA MONTANARI SOCIETA A,25.17,Food & Dining,Grocery,San Francisco
Sale,10/7/17,GALLERIA FERRARI,21.84,Bills,Utilities,San Francisco
Sale,10/7/17,PUSHSTART SRL,43.06,Bills,Services,San Francisco
Sale,10/7/17,FERRARI SHOP C/O MUSEO FE,33.3,Health & Fitness,Gym,San Francisco
Sale,10/7/17,HARRAH'S HOTEL LV RESERV,72.45,Shopping,Apparel,San Francisco
Sale,10/6/17,ZEROCINQUANTINO       179,47.92,Shopping,Electronics,Las Vegas
Sale,10/6/17,5505                  186,431.37,Shopping,Gifts,Spain
Sale,10/4/17,C'E'PASTA PER TE DI ZA,21.61,Travel,Air,Spain
Sale,10/4/17,HOTELS.COM,4.56,Travel,Hotel,San Francisco
Sale,10/2/17,PUBLIC STORAGE,1.04,Travel,Car,Spain
Sale,9/30/17,PUSHSTART SRL,37.72,Food & Dining,Fast Food,San Francisco
Sale,9/30/17,DRIVER,2.45,Food & Dining,Coffee Shop,San Francisco
Sale,9/30/17,GALLERIA FERRARI,9.5,Food & Dining,Restaurant,Spain
Sale,9/28/17,PARAFARMACIA SAN BIAGIO,25.31,Food & Dining,Grocery,Spain
Sale,9/25/17,EMILIA SUITE,3.03,Bills,Utilities,San Francisco
Sale,9/23/17,AUTOST FI IMPRUNETA/MODEN,35.27,Bills,Services,San Francisco
Sale,9/23/17,PARK DUOMO,1626.41,Health & Fitness,Gym,Las Vegas
Sale,9/23/17,BIGLIETTERIA SANTA MA,7.04,Shopping,Apparel,San Francisco
Sale,9/23/17,AUTOST MODENA SUD/FI IMPR,57.86,Shopping,Electronics,Spain
Sale,9/22/17,MARANELLO RESIDENCE SRL,28.32,Shopping,Gifts,Las Vegas
Sale,9/19/17,EMILIA SUITE,450,Travel,Air,San Francisco
Sale,9/18/17,HOTELS.COM,1.73,Travel,Hotel,San Francisco
Sale,9/17/17,SOYLENT,62.97,Travel,Car,Spain
Sale,9/17/17,FAIRMONT WATERFRONT F&amp;B,3.6,Food & Dining,Fast Food,Spain
Sale,9/16/17,STARBUCKS 00165,8.12,Food & Dining,Coffee Shop,San Francisco
Sale,9/16/17,TIM HORTONS 2940 QTH,2.94,Food & Dining,Restaurant,San Francisco
Sale,9/16/17,GATEWAY NEWS STAND,2.08,Food & Dining,Grocery,Las Vegas
Sale,9/16/17,TIM HORTONS 4443 QTH,22,Bills,Utilities,San Francisco
Sale,9/15/17,BC LIQUOR #177,8.67,Bills,Services,Spain
Sale,9/14/17,BLENZ COFFEE BENTALL 5,258.65,Health & Fitness,Gym,San Francisco
Sale,9/14/17,SUSHIQ,160.12,Shopping,Apparel,San Francisco
Sale,9/13/17,KISHIMOTO JAPANESE KITCHE,10.8,Shopping,Electronics,San Francisco
Sale,9/9/17,HEINEMANN DUTY FREE,16.76,Shopping,Gifts,San Francisco
Sale,9/8/17,SAN BABILA 4C S.R.L.,22.72,Travel,Air,Las Vegas
Sale,9/8/17,HOTELS.COM,15.17,Travel,Hotel,San Francisco
